origin_file	origin_sha256	release_sha256	origin_lines	release_lines	origin_symbols	retained_symbols	exact_code_line_retention
anchor_db.py	e018140b31dceab94de602cc8ed473f7824dcb2e5a232651d1bacb51f37f237c	647c7744bdf23c58fdcb7f3fd56d0830a4c4ffbdb02bbfcefe4f4de86b3c5035	2332	2332	106	106	0.999
anchor_memory.py	6189c96ba10a7326c4222a05cd8fd4054fb73b5ce0c347bcc621d3bb6cf4883a	fd827e70cb5c560979269a2a87116b1b4205d8982a90294a937a4583b6ad1608	1089	1173	33	33	0.969
anchor_sse.py	9acfbbb28bbdccd41c985e037efb45dcc26eaba69f81a518871c3464536182b8	5c8db3c40392954220b3f115faa8faf52738f6d72aa77dde5533ea82749219ff	2214	2228	89	89	0.986
belief.py	25236a2a91c43ba06f9041a439a00e74ed74384fd82cb044db06deb32babd5ff	f405f615f34d20a7ceeed0b08a467b39bdb3b1d55d4c8fda47e817ad8bd7c228	269	278	16	16	0.987
belief_graph.py	acba5dfc0876bb77d9a85d94cc65e55f37aeb71d93aa16475038ee568ef76bc2	bd8863d093d17c451665da7307f8641810c3b132782e7f4196f56c31f37157f0	347	347	13	13	0.997
build_voyage_chroma.py	dec807f5081dd83284388da013a21171e1ac73070cb8ed342c83ff3d42530f4f	5907ac7705fdaada2f529c5f165b45f4bcba481f88ad22a5af1f9b5b92cfe304	195	196	7	7	0.960
cluster_raw.py	7e08d7723150cea11d5c58ad2d15f1859909104e2e987e49c6679781c42d13f3	9a85b8f13795948ede2fe5729b5f4c444f2a07ce1eabac2760f28f2c2cd241b5	774	777	33	33	0.993
cold_store.py	0cf416c8307386a47d193ffd0e4485f0ffab29bee9bfcfc22f1360f8a8431156	3605ee5bcb4af6fae70ea95871e1f456324c7216819bb49edf2cda8a80ded00f	524	527	18	18	0.987
context_compress.py	66e31c666a404fa41665996aacec548ccbd9af2e7b6bb4a399eee75f93717b5b	6a3b0fe287da3881ae9693143a1da877c47054f3cb57c55913b04dcf19b1295a	375	375	12	12	0.981
daily_dashboard.py	79e94831333bd494a98c8ff303fb4c54502f008297fe143e4bf02e33faaa3631	e952fae5f323b5a31b856b8b6cfb8661c6d1252dd84b1c4f3766913b08286268	1680	1678	53	53	0.981
